,Np,Pystokes times (us)
0,32.0,154.3715000152588
1,64.0,185.1785182952881
2,96.0,77.11672782897949
3,128.0,127.54559516906738
4,160.0,155.5788516998291
5,192.0,223.09613227844238
6,224.0,240.0360107421875
7,256.0,315.90723991394043
