,Np,Pystokes times (us)
0,32.0,30.3041934967041
1,64.0,112.15758323669434
2,96.0,250.27942657470703
3,128.0,435.4374408721924
4,160.0,670.0811386108398
5,192.0,965.9602642059326
6,224.0,1310.9891414642334
7,256.0,1715.2745723724365
